date,avg_price
2017-12-11,17106.5051488871
2023-11-20,37413.994607905312
2022-01-01,46319.651088052509
2019-01-30,3413.3754832497975
2018-02-27,10355.5781264856
2022-02-21,38514.008536224552
2018-11-02,6379.9729721684289
2013-05-29,132.13
2024-09-06,56132.404732088595
2016-09-09,621.91249999999991
2015-10-16,262.3735
2018-09-20,6383.7538411583819
2013-05-06,118.33
2013-12-15,854.62
2019-05-19,7300.6551583412274
2014-06-23,586.14829999999984
2018-07-08,6759.83608914527
2016-06-23,623.2062563646158
2014-07-24,599.8088
2021-03-13,57353.861471972479
2013-09-02,137.17
2015-08-16,257.81580000000008
2018-12-12,3378.8087784131062
2025-01-10,94220.666666666642
2025-10-16,110225.48837209301
2016-12-26,902.6063
2021-07-14,32676.383800960179
2013-07-20,91.572
2014-01-04,849.14
2020-10-17,11319.097785677623
2017-08-10,3367.90538708821
2021-12-06,49268.469890539382
2023-03-22,28264.239610522349
2017-07-03,2576.7146569746
2020-08-04,11230.907762749297
2014-05-15,444.25
2019-01-11,3623.8477291056797
2022-01-13,43981.877327174137
2020-10-05,10670.700811335208
2022-08-01,23379.700525090819
2024-10-16,66962.219944967932
2019-10-17,8010.3021797941665
2020-09-14,10328.866065987393
2021-11-25,57198.183846295287
2017-06-21,2717.00310788798
2013-05-31,127.98
2018-11-17,5609.9561823342037
2015-06-19,242.9967
2017-12-22,14084.8249267767
2020-03-18,5389.41577503409
2023-08-07,29044.204375577556
2017-07-01,2439.82055973389
2022-06-07,31372.5847629755
2015-10-23,277.38839999999988
2015-05-23,239.0329940983288
2022-08-16,24179.014652309197
2023-09-03,25853.656842777571
2013-08-04,104.86
2025-08-03,113778.36805555558
2025-01-31,104026.97202797205
2025-03-06,90546.124999999985
2025-05-01,95844.534722222219
2017-11-15,7297.66883633256
2020-01-22,8724.8186229314742
2023-07-19,29848.032272505279
2013-08-28,123.02
2017-11-22,8257.12389528835
2021-08-09,43753.217862646314
2023-09-01,25927.417005779287
2019-04-12,5047.79316241402
2017-07-21,2658.07491237597
2024-10-23,67351.047935124981
2024-02-28,57003.526737308108
2020-11-30,18169.954209782849
2021-03-05,48727.451200801152
2017-01-10,905.75946269843394
2023-05-25,26338.948946998687
2019-01-04,3776.5258076941059
2021-02-01,33064.786767015074
2013-09-13,135.05
2017-11-11,6365.39785208573
2021-06-02,36680.068201802831
2020-07-22,9384.3797519032669
2013-06-08,110.09
2023-05-04,28988.320996249273
2014-08-27,510.4463
2019-03-12,3860.3592300287123
2017-04-02,1098.0679999999998
2021-10-22,62541.086932935177
2023-12-30,42074.70715618848
2019-04-15,5149.3144927981266
2016-02-27,432.13900000000012
2020-12-16,19432.362456862407
2014-07-31,583.18210574318994
2016-07-14,659.57600000000025
2021-11-07,61661.358663720363
2024-01-30,43267.609276387673
2023-09-11,25834.580098562914
2014-10-05,325.1099999999999
2015-12-20,441.12899999999991
2015-04-29,225.9978
2022-08-14,24433.653747243658
2021-01-16,36787.52121668496
2025-01-28,102370.02083333334
2019-02-16,3601.2291913968643
2015-04-08,244.2709
2023-03-13,22095.713398335691
2016-12-03,764.83382332391534
2024-04-09,71624.184862369963
2018-12-02,4189.5738229998587
2021-01-07,36933.520137309126
2014-12-15,344.615
2017-03-16,1217.3145410078776
2022-11-01,20494.601209837088
2024-04-07,69000.6499164776
2023-09-27,26204.757590835969
2015-07-18,274.48389999999989
2021-10-04,48282.971138574467
2018-09-12,6278.9170696285591
2018-12-31,3809.7282286410905
2018-09-13,6330.5742380226638
2018-03-08,9999.68248604677
2023-02-25,23172.286538018925
2017-01-31,968.26629999999989
2020-02-17,9943.6736025787432
2017-11-06,7103.04608116249
2024-02-14,49732.145369553509
2015-04-14,217.9995
2024-11-17,90606.45489380708
2013-06-10,99.7497
2016-08-18,572.2684198487193
2017-02-27,1193.1295150369579
2014-08-30,501.53000000000009
2014-04-11,420.0563
2013-07-17,98.9796
2023-12-08,43270.119559707469
2023-06-30,30466.610456893526
2019-10-01,8271.290855465355
2024-10-05,62103.010472832531
2013-09-04,135.21
2021-03-22,57573.539344778685
2024-11-05,67793.297827047616
2018-11-04,6388.1897883073725
2025-05-23,109942.5972222222
2025-10-17,106514.92622950819
2025-02-06,97510.71527777781
2025-02-10,97211.993055555547
2017-07-13,2364.32126576467
2024-03-06,64291.536557569496
2013-09-17,131.31
2019-05-04,5731.493099606555
2022-07-26,21330.295450788173
2017-03-05,1276.2330000000002
2021-07-30,39977.756939227642
2019-12-12,7197.4268258808343
2021-06-29,34556.8421269449
2018-04-14,7845.75284010594
2014-11-21,349.38828543239453
